"number","logFC","logCPM","PValue","FDR","GeneID"
"1204",0.0320851757175563,8.61130814236567,0.85067678373314,1,"lmo2752"
"1205",-0.119284168702496,11.0639513044405,0.460142347235008,1,"lmo2763"
"1206",-0.081263824553642,10.4240151813492,0.374798337542502,1,"lmo2764"
"1208",-0.052489553172886,8.41079607148956,0.326873176890396,1,"lmo2765"
"1209",-0.118904920089442,8.56510515442863,0.51362644955228,1,"lmo2771"
"121",-0.133691680093972,9.82824314404022,0.164606552400732,1,"lmo0266"
"1210",-0.0462596107000919,11.6070877085155,0.778244667066583,1,"lmo2772"
"1212",0.0139097428814763,12.0015255482984,0.921989718832993,1,"lmo2775"
"1214",-0.0791244267004114,11.8800714227008,0.692833945009994,1,"lmo2781"
"1216",0.0587106354798038,8.42388403853923,0.135445516328712,1,"bvrC"
"1217",-0.158806538759509,11.6911092268361,0.333180390024004,1,"bvrB"
"1219",0.218517934136141,9.43676396871987,0.0240965825036053,1,"lmo2789"
"1220",0.168898197523126,10.7239210509127,0.166563005604668,1,"parA"
"1222",0.0881994051125694,9.43814428466268,0.162804618873803,1,"lmo2793"
"1223",-0.130834692931704,10.5008240286682,0.125619345950302,1,"lmo2794"
"1224",-0.104596469214055,10.5040350743841,0.383709298257024,1,"lmo2796"
"1226",-0.179053525429661,9.44530028806599,0.0815069306317839,1,"lmo2797"
"1227",-0.0583178760511145,10.1762198513349,0.333097049433118,1,"lmo2798"
"1228",-0.0484220087414809,10.401112930584,0.424407825537535,1,"lmo2801"
"123",-0.154912154476058,11.6722474767614,0.32922310865119,1,"lmo0279"
"1231",0.0768932571194541,10.2040943513414,0.443774617389138,1,"lmo2805"
"1233",0.00863252003495534,10.0789458736298,0.792859789463808,1,"lmo2808"
"1235",0.0371200542277188,11.0207165304783,0.679562884175242,1,"lmo2817"
"1236",-0.0409327888552845,11.0964839415,0.736724975784181,1,"lmo2819"
"1238",-0.13841765179883,10.258232844674,0.377104791359092,1,"lmo2822"
"1239",-0.0375422683540456,11.232652913491,0.853382551780081,1,"lmo2823"
"1240",-0.0400037318667334,11.0682403819706,0.708025867396119,1,"serC"
"1242",-0.0809222675217779,11.2959562312357,0.576457761687168,1,"lmo2826"
"1243",-0.100143150825408,9.91873008176932,0.137869687829144,1,"lmo2827"
"1246",-0.103706127044219,10.9102716539517,0.418744833041049,1,"lmo2834"
"1248",-0.106948341714133,10.3647357842481,0.249196190757088,1,"lmo2835"
"1249",-0.0309212096276929,10.8827400759642,0.923401490835613,1,"lmo2836"
"125",-0.120069339125896,8.53932326087947,0.275066655780504,1,"lmo0280"
"1250",-0.112892225813316,10.7114334978968,0.408962270738504,1,"lmo2838"
"1252",-0.102045582609224,7.93996668071131,0.484622868729637,1,"lmo2839"
"1253",-0.0531765911205057,11.1854709802959,0.723373707880091,1,"lmo2840"
"1255",0.0359495232399481,9.59746964456085,0.915652304182549,1,"lmo2846"
"1256",-0.174243219131867,10.3988092330374,0.036578432982734,1,"lmo2847"
"1257",-0.00442424171584943,10.99850450985,0.989892971661903,1,"lmo2848"
"1258",-0.0949371940804182,11.2323492562284,0.483064294294995,1,"lmo2849"
"1259",-0.0856332816430491,10.7378373215065,0.52800467622277,1,"lmo2852"
"126",-0.150270506462864,10.762560182085,0.266586721657645,1,"lmo0284"
"1260",-0.0129481042039127,7.97253272993321,1,1,"lmo2853"
"1261",0.0121565844951558,11.0636124513402,0.970775053401434,1,"lmo2854"
"128",-0.0332880767785629,10.38322149017,0.65653888903383,1,"lmo0285"
"129",-0.0731160238072721,11.4941274414384,0.608620870522223,1,"lmo0288"
"132",0.156280748573357,9.31682038951506,0.225480021279144,1,"lmo0299"
"134",-0.0665076136804811,9.43611155946968,0.45118496261678,1,"lmo0301"
"136",-0.0249860969461273,11.0607831586305,0.855054472476446,1,"lmo0304"
"138",0.16847759634818,8.80616279267408,0.175432806402204,1,"lmo0305"
"139",-0.0350786937680038,10.5898789710241,0.874787020394658,1,"lmo0311"
"14",-0.13283505039791,7.7560099046131,0.341759521670681,1,"lmo0025"
"141",-0.0508253750461546,10.5938972828726,0.467938085558459,1,"lmo0315"
"145",-0.0470424219592135,9.74977209361571,0.209315455672247,1,"lmo0335"
"149",-0.0037147608680956,9.47565585163624,0.747552140446881,1,"lmo0339"
"15",0.0583963286617068,10.3042707262028,0.445554664781357,1,"lmo0026"
"150",-0.0929140865544384,8.54300739231384,0.720065771514057,1,"lmo0340"
"151",-0.0614859267268251,7.84883754306957,0.846932138354799,1,"lmo0340"
"152",-0.132841045260175,10.1104351260707,0.158124131982545,1,"lmo0343"
"155",-0.130745029929775,9.9772349474296,0.149528285129379,1,"lmo0347"
"157",-0.0147123710543423,9.66758319824527,0.806522068623686,1,"lmo0357"
"158",-0.122602126887193,11.1709504042571,0.311015581650228,1,"lmo0358"
"16",-0.0930305255027104,10.9084080408122,0.414723087634235,1,"lmo0032"
"160",0.0114282022061634,9.00195446237994,0.773953688979132,1,"lmo0362"
"162",-0.0325234152281854,11.2307591375415,0.86740256394303,1,"lmo0372"
"164",-0.0284251433848981,10.8260004758696,0.697144703320059,1,"lmo0383"
"165",-0.0653101344245331,10.0048727123243,0.514777840613745,1,"lmo0384"
"166",-0.0288123585090483,10.2453444556128,0.780075541975148,1,"lmo0385"
"167",-0.174062378910158,11.4824660440472,0.253888352915098,1,"lmo0386"
"168",-0.0181599490381929,7.22696102322925,0.953293189139618,1,"lmo0386"
"169",0.00204408166695176,10.2966444017876,0.987140541961005,1,"lmo0391"
"171",-0.00630808377203334,9.64079890489711,0.833462528473099,1,"lmo0398"
"174",-0.0187777155451136,9.75927990269594,0.940495400792183,1,"lmo0403"
"176",0.0396349056657228,8.37182821061172,0.361691567320108,1,"lmo0404"
"177",0.0567668475312378,8.22938013510766,0.843425871670473,1,"lmo0410"
"178",-0.139503347535224,11.3986300483887,0.367270558819678,1,"lmo0411"
"179",0.109745133275565,9.23958526652414,0.597249445361159,1,"lmo0416"
"18",-0.0941393640368589,11.1677617927784,0.531262502981,1,"lmo0034"
"181",-0.0743551792601851,8.60267549675422,0.501928454146567,1,"lmo0421"
"183",0.0963147199406201,9.97300770746582,0.228970477770578,1,"lmo0423"
"185",-0.0439777228298299,11.5089578583053,0.741063014431635,1,"lmo0425"
"188",-0.108384551650628,10.769662471908,0.316518706326603,1,"lmo0428"
"189",0.000655687945174507,9.70039700693959,0.735356292277729,1,"lmo0431"
"190",0.0389185805313086,9.9672962489723,0.456281079272368,1,"lmo0432"
"191",-0.237548471667295,7.37695567012961,0.193860101902775,1,"lmo0432"
"193",-0.059365967786844,10.4145543371015,0.521670693584975,1,"lmo0454"
"195",-0.295448597994556,11.1744690907568,0.0493792214142764,1,"lmo0456"
"198",0.157285097484619,8.24295564114152,0.0596759291660284,1,"lmo0458"
"20",-0.124127016882449,11.5160448465288,0.432228884728881,1,"lmo0037"
"201",-0.086320999127936,9.88248223872556,0.189932687584281,1,"lmo0498"
"203",-0.112465121524566,9.9993074389361,0.341062864675163,1,"lmo0500"
"204",0.0422763996810922,11.3426515644793,0.758534141957991,1,"lmo0501"
"206",0.148944670428034,9.36496468642963,0.355824649447111,1,"lmo0504"
"207",-0.0213107808303648,9.87438377472011,0.79929513936857,1,"lmo0505"
"209",0.056742745432718,9.79912115762198,0.651762988829184,1,"lmo0513"
"211",0.131552903519127,11.1114504102245,0.284299008515043,1,"lmo0527"
"213",0.00563944119622505,10.6065398598674,0.899751290478496,1,"lmo0529"
"214",-0.0372352323929926,11.408953721031,0.819668721126915,1,"lmo0530"
"215",-0.198324021465128,9.81148107590909,0.0994539719483772,1,"lmo0531"
"217",-0.0879709711355763,10.0808772638339,0.105003947471459,1,"lmo0532"
"218",-0.08277971957766,10.8524538608442,0.389761462951635,1,"lmo0537"
"22",0.132228571019919,10.4918044439677,0.284842310221312,1,"lmo0048"
"220",0.304447746904473,8.30419603678541,0.0127219374211425,1,"lmo0538"
"221",-0.049219340458245,10.3437386916392,0.564799873856846,1,"lmo0556"
"230",0.120292984380039,10.8302091923927,0.282189868129187,1,"hisZ"
"232",0.0781098301808864,9.81840416018292,0.16993355787367,1,"lmo0589"
"236",0.138443202836449,9.42292659087047,0.423959999486208,1,"lmo0599"
"239",-0.0546675943714508,11.2652449974891,0.647138328388077,1,"lmo0607"
"24",-0.0836034869593363,12.1943271883798,0.726935308334982,1,"lmo0052"
"241",0.149181112916103,8.3041376241714,0.462208891296131,1,"lmo0608"
"243",0.0142949147626696,8.18816278985804,0.999999999999999,1,"lmo0613"
"244",-0.0384135656158133,11.5514161752374,0.828747573487665,1,"lmo0630"
"247",-0.0240041166159327,8.61934840650591,0.808879857557291,1,"lmo0645"
"249",-0.136497445953205,10.4636181790713,0.402517228817324,1,"lmo0653"
"250",0.123358178369702,9.81828871957673,0.235468764405504,1,"lmo0664"
"252",-0.10200534912876,9.57788958950892,0.211965230960377,1,"lmo0666"
"254",-0.0254417922337593,10.4495582551327,0.775034328333173,1,"lmo0667"
"256",0.126277051188123,8.25362977511585,0.376269325500547,1,"lmo0668"
"258",-0.126592663319692,9.81729044310349,0.222297630777742,1,"lmo0677"
"26",-0.0461603863268896,12.3804342696509,0.822874110338942,1,"lmo0057"
"260",0.110998757849106,10.5584017163061,0.192933459401293,1,"lmo0679"
"261",-0.0502207294299328,10.6211303648624,0.779164346543008,1,"lmo0681"
"263",0.0355924419822689,10.3685132411071,0.511443979678537,1,"lmo0685"
"265",-0.201701432064801,9.44502286649225,0.121488744822982,1,"lmo0687"
"266",0.100057420541706,10.9328467467246,0.389090260912561,1,"lmo0688"
"267",0.0902034414013918,10.0446733790692,0.289757329923882,1,"lmo0689"
"268",0.152415497907971,7.4404208635878,0.0754498072514057,1,"lmo0689"
"269",-0.0618313465588944,11.0542524700713,0.62979795143749,1,"cheA"
"270",0.0626584479847374,8.97435438982185,0.450915379821919,1,"lmo0693"
"271",-0.0766165893365027,11.2650896691735,0.612128160949138,1,"lmo0695"
"273",0.0888377023693818,10.4868903613843,0.39562289415014,1,"lmo0697"
"274",0.0602609042952427,8.13368465006992,0.493940410861593,1,"lmo0698"
"275",-0.0628657636763209,10.1453977246382,0.689327009327827,1,"lmo0699"
"278",-0.0103655598818832,9.28791396308538,0.871254274921657,1,"lmo0703"
"279",0.00794591903380356,9.07960466325642,0.701218667914983,1,"lmo0704"
"28",0.0692724997588104,10.9316145385226,0.575128729392787,1,"lmo0060"
"280",-0.0330788103474411,10.7639612163586,0.873711646419351,1,"lmo0705"
"281",-0.0853411618293073,9.99193465762707,0.236923169042195,1,"lmo0706"
"282",-0.0756100787654987,10.6614913715878,0.496940780212465,1,"lmo0707"
"283",-0.220405200346891,9.3261616890725,0.00190446258007596,0.677036447217005,"lmo0708"
"285",-0.0556036097506512,9.66935678136092,0.848048356248767,1,"lmo0710"
"286",-0.0212650868902254,9.38481224953714,0.792337469914905,1,"lmo0711"
"287",-0.0552329997726289,11.4482167043298,0.73779088653726,1,"lmo0713"
"29",-0.0525572526831441,12.6694952507242,0.809087678200266,1,"lmo0061"
"291",-0.143911719916604,9.99519359223386,0.171611605966427,1,"lmo0717"
"292",-0.0363923158921963,10.1617268308293,0.692591880733491,1,"lmo0718"
"294",-0.168509108086571,9.41989784770699,0.0262098305985851,1,"lmo0719"
"296",0.037080285482937,8.23639359703155,0.819722489336043,1,"lmo0720"
"297",0.0196760799212465,11.2842398622023,0.892164017065208,1,"lmo0723"
"298",-0.0689627462501689,9.91954607533058,0.668749274076921,1,"lmo0724"
"299",0.282965470284842,7.32446358263141,0.121553390871348,1,"lmo0724"
"3",-0.0713038118789146,11.1229376911493,0.588512952122961,1,"lmo0010"
"30",-0.0367119415081565,10.0034826380477,0.759751821753477,1,"lmo0062"
"300",-0.127104728215992,9.51598557008594,0.07661649001137,1,"lmo0729"
"301",0.00323789768307011,9.30884740956598,0.924735883531836,1,"lmo0730"
"302",0.0813583040945897,10.1333608817844,0.338461805642278,1,"lmo0735"
"304",-0.0956438166930251,10.621916953572,0.310964991565811,1,"lmo0737"
"305",0.012127125980906,9.69603175209743,0.901839382564825,1,"lmo0741"
"308",-0.0663281141932007,9.32002141235672,0.733443866487348,1,"lmo0748"
"311",0.128463599508589,10.1301659647219,0.152207472792752,1,"lmo0755"
"314",0.0342565244369354,7.48224924581529,0.158981570521881,1,"lmo0757"
"315",0.244713387119284,9.99749044540761,0.000118847121994334,0.0845003037379712,"lmo0758"
"318",0.100616120317144,9.59228520586816,0.234288153180529,1,"lmo0761"
"320",-0.072447660008078,10.4821704468245,0.478275003858547,1,"lmo0763"
"322",-0.12312078922775,10.5411588860684,0.19012524939849,1,"lmo0766"
"323",-0.116227983653811,10.1804165853602,0.168020778382779,1,"lmo0767"
"324",0.0461016150840673,10.7882572700804,0.727851192591088,1,"lmo0768"
"326",-0.0432857819872782,9.91133769422116,0.644387195033252,1,"lmo0784"
"328",0.0784550354998156,10.7646265734169,0.574188440195755,1,"lmo0807"
"332",0.0689126619293895,9.51976182913394,0.540048521636214,1,"lmo0827"
"334",0.210401254078025,10.0386889862496,0.0475773653239374,1,"lmo0834"
"335",-0.0591344006436072,8.47521588635663,0.513079325441695,1,"lmo0835"
"336",-0.0457147756517742,11.1019343966355,0.702049965138215,1,"lmo0847"
"338",-0.0321693063396544,8.30561951850261,0.66209459580433,1,"lmo0848"
"339",-0.0243831242414757,9.90949638397942,0.803154305183132,1,"lmo0853"
"34",-0.17623352004709,11.7511064736431,0.311144519761582,1,"lmo0066"
"341",0.0599100651536763,7.269331283184,0.348646645611839,1,"ddlA"
"342",-0.0243596906518303,10.7722207311175,0.807294475453288,1,"murF"
"343",-0.0191395018515644,10.8786794790969,0.868795928305897,1,"lmo0859"
"346",0.0376529479660305,11.0946903929381,0.691582405282707,1,"lmo0862"
"348",0.0255199970860755,10.4444083005833,0.562511639696899,1,"lmo0864"
"35",0.121650995187307,9.97184204576789,0.362479620545919,1,"lmo0073"
"350",0.299543358511316,8.23263220369782,0.0666856420235308,1,"lmo0865"
"351",0.109592430671411,9.45759880338552,0.316631800813571,1,"lmo0874"
