GeneID,S7,S6,S5,S23,S24,S25,S26,S27,S20,S21,S22,S28,S29,S30,S31,S32,S33,S8,S34
lmo0386,0,0,0,194.5,11,57,5.5,3.5,93,67,31,9.5,65,88.5,31.5,0,0,0,0
lmo0391,0,0,0,1114,99,503,90,80,473,507,245,243,423,503,188,0,0,0,0
lmo0392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0398,0,0,0,982,98,416,60,17,450,431,183,70,321,530,173,1,0,0,1
lmo0399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0403,0,0,0,1234,90,453,52.5,26,502.5,402.5,198.5,91,349,466,200.5,0,0,1,0
lmo0404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0404,0,0,0,440,46,176,26.5,5,185.5,168.5,70.5,27,138,194,87.5,0,0,0,0
lmo0410,0,0,0,293,36,153,22,10,149,131,79,27,124,172,68,0,0,0,0
lmo0411,0,0,0,3133,282,1345,197,116,1513,1294,598,277,1036,1479,524,2,1,0,2
lmo0416,0,0,0,873,61,298,33,30,299,304,101,63,280,335,123,0,0,0,0
lmo0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0421,0,0,0,435,42,169,30,15,219,188,87,36,132,232,90,0,0,0,0
lmo0421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0423,0,0,0,1494,111,486,66,28,523,513,221,95,475,624,205,4,0,0,0
lmo0422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0425,0,0,0,3583,284,1440,196,107,1553,1500,644,258,1210,1772,622,1,2,0,2
lmo0426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0428,0,0,0,2047,185,962,107,64,973,911,399,164,683,1097,324,0,1,0,0
lmo0431,0,0,0,1072,113,413.5,63.5,23,471.5,409,186.5,78,350,479.5,194.5,0,0,0,0
lmo0432,0,0,0,1233.5,114.5,453,81.5,28,536,534.5,211.5,89,432.5,594,239.5,0,0,0,2
lmo0432,0,0,0,188.5,17.5,83.5,9,7,76.5,95.5,42,18,55.5,83.5,33,0,0,0,0
lmo0452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0454,0,0,0,1700,168,670,82,40,779,688,330,124,544,833,294,0,0,0,2
lmo0453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0456,0,0,0,2754,226,1163,153,113,1336,1111,538,205,845,1228,445,1,0,0,1
lmo0457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0458,0,0,0,328,20,164,26,1,167,148,70,19,149,194,74,0,0,0,0
lmo0468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0498,0,0,0,1132,107,477,55,29,554,504,211,75,377.5,575,211,0,3,0,0
lmo0499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0500,0,0,0,1334,96.5,507.5,79,25.5,612,578.5,236,72.5,402.5,639.5,242.5,0,1,0,0
lmo0501,0,0,0,3551,298.5,1306,186,62.5,1511,1418.5,581,213.5,1133,1627.5,614.5,2,2,0,0
lmo0502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0504,0,0,0,852,58.5,367.5,54.5,25,339.5,304,141.5,51,279.5,461,145,0,1,0,0
lmo0505,0,0,0,1192,104.5,510,71.5,29,569.5,466,199.5,76,409.5,564,209,0,0,0,1
lmo0506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0513,0,0,0,1070,94,412,59,37,473,439,174,82,398,507,194,1,0,0,0
lmo0512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0527,0,0,0,3081,261,1153,165,59,1287,1101,446,211,1011,1356,510,0,1,0,0
lmo0528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0529,0,0,0,1901.5,186,801,115,40,887,789,377,125.5,588,1048,379,0,1,1,0
lmo0530,0,0,0,3478.5,283,1404,194,87,1570.5,1411.5,600.5,264.5,1080,1663,563,2,1.5,0,0
lmo0531,0,0,0,1164.17,97.83,476,65,25.83,581.33,487.17,208,75.5,372,566.67,150.33,0,1.5,0,1
lmo0531,0,0,0,84.17,7.33,39,5.5,1.33,42.83,36.17,9.5,3.5,25,38.67,11.83,0,0,0,0
lmo0532,0,0,0,1395.67,118.83,539,78.5,37.83,605.33,576.17,254,78,447,642.67,243.83,1,1,0,0
lmo0537,0,0,0,2226,211,895,136,69,1028,919,430,156,746,1159,378,3,2,0,0
lmo0538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0538,0,0,0,347,36,155,16,9,149,150,62,26,147,218,72,0,0,0,1
lmo0556,0,0,0,1448,122,587,82,64,713,617,245,130,562,765,228,3,1,0,0
lmo0557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hisF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hisA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hisH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hisB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hisD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hisZ,0,0,0,2243,210,977,102,47,996,932,385,216,777,1060,380,1,2,0,1
hisG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0589,0,0,0,1255,106,471,63,26,482,448,193,86,366,555,220,2,0,0,0
lmo0590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0599,0,0,0,858,85,290,46,27,370,373,98,71,311,427,139,0,0,0,0
lmo0600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0607,0,0,0,2867,241,1178,189,105,1288,1154,543,234,975,1467,513,2,0,0,2
lmo0608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0608,0,0,0,330,41,114,19,12,165,141,70,24,140,205,67,0,1,0,0
lmo0613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0613,0,0,0,415,21,139,30,8,180,130,63,21,128,176,65,0,0,0,0
lmo0630,0,0,0,4286,351,1616,228,91,1699,1666,660,244,1311,1874,645,2,0,0,1
lmo0631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0645,0,0,0,500,50,218,40,16,230,202,69,33,157,232,91,0,1,0,0
lmo0646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0653,0,0,0,1914,168,778,109,30,871,801,351,117,576,893,282,2,2,0,1
lmo0664,0,0,0,1198.5,97.5,511.5,67.5,26,502,377,213,84,375.33,556,222.83,0,0,0,0.5
lmo0665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0666,0,0,0,951.17,90.17,404.5,77,28.83,473,384.5,158.83,66.17,312.83,466.5,145.67,0,1,0,0.5
lmo0666,0,0,0,131.67,6.17,51,9.5,4.83,53,66.5,23.33,8.17,35.33,63,20.17,0,0,0,0
lmo0667,0,0,0,1735.67,141.17,702,97,41.33,786,697,336.83,121.67,598.5,854.5,298.33,1,0,0,0
lmo0668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0668,0,0,0,396,25,153,21,8,163,154,58,25,104,208,83,0,0,0,0
lmo0676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0677,0,0,0,1324,112,473,66,33,556,439,198,88,386,468.5,179,0,0,0,0
lmo0678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0679,0,0,0,1853,144,794,80,33,850,744,344,136,688,962,348,3,0,0,3
lmo0681,0,0,0,1855,152,769,96,43,964,771,383,104,665,1047.5,366,0,3,0,0
lmo0682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0685,0,0,0,1619,138,639,76,40,702,654.5,296,146,511,773.5,298,0,1,0,0
motB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0687,0,0,0,811.5,82,320,40,28,437,331,166,46,231.5,426,169.5,0.5,1,0,0
lmo0688,0,0,0,2487,190,1063,163,52,1081.5,931.5,452.5,186,779.5,1343,438.5,1.5,0,0,0
