"number","logFC","logCPM","PValue","FDR","GeneID"
"1118",11.9859814664298,13.7435360380719,1.19097832457349e-07,1.07809104332603e-06,"hom"
"1120",2.15628583823731,13.5883401129499,0.000544020407935898,0.000968822237810278,"lmo2550"
"1123",12.0908071037316,13.8388022152552,9.69146779673208e-08,9.3861201812186e-07,"lmo2555"
"1125",10.6777167584068,12.4445802764663,0.00329285555509771,0.00475112015806956,"lmo2562"
"1128",11.5929399346299,13.3559678886111,3.67992293370108e-06,1.75790913116666e-05,"lmo2573"
"1130",11.3547828603208,13.1234100780732,2.6003656249007e-05,8.31881672762351e-05,"lmo2578"
"1131",10.0321493273721,11.8107271529485,0.00839245652652616,0.0109879014152852,"lmo2579"
"1132",9.22931360194582,11.0213064124666,0.117208849646322,0.125651426826194,"lmo2580"
"1133",11.7068826712034,13.4607235820224,3.67806543133768e-06,1.75790913116666e-05,"lmo2581"
"1135",10.8965214293528,12.6721228976342,0.00029610457653907,0.000579905638817513,"lmo2583"
"1137",8.87741264620134,10.6858881100901,0.145095847479247,0.153797247627927,"lmo2585"
"1138",13.0088670485559,14.7469562935132,7.83270432920908e-13,6.92215245093853e-11,"lmo2586"
"1142",11.4932944810401,13.2577869716229,7.49422227596474e-06,3.08033419379799e-05,"lmo2601"
"1144",2.18376031906242,13.5530344213213,0.000610768019958933,0.0010741616669427,"rplO"
"1146",10.5034385860828,12.2115189393094,0.00172189661399177,0.00267556243097183,"rpmD"
"1147",13.8649928196266,15.5354441713504,5.86306296255845e-12,2.76345700968588e-10,"rpsE"
"1150",11.6927696808116,13.4001704695506,3.02882515504532e-06,1.48706901709517e-05,"rplV"
"1152",11.5571580290916,13.3133394176859,2.44390325191714e-06,1.26119678766819e-05,"rplD"
"1154",9.17791594064279,10.9757352286579,0.0801563392307897,0.089244932025462,"lmo2645"
"1156",10.9373403460299,12.7078383987193,0.000225875307130893,0.000457575478915591,"lmo2647"
"1158",11.3230340926078,13.086913483808,3.00576558641939e-05,9.1204990111524e-05,"lmo2648"
"1159",1.18823473201699,12.6495501188593,0.0151685634230938,0.019150311321656,"lmo2651"
"116",8.69413020630117,10.5094951758221,0.181324988145646,0.188345478117159,"nusG"
"1161",9.19954128645726,11.0074449843536,0.0358824665492715,0.0424939762987185,"lmo2659"
"1162",2.59328649994726,14.0273554078602,1.51027167620198e-05,5.39273775290304e-05,"lmo2660"
"1164",10.8216504759904,12.5870010898596,0.00105119601411051,0.00173643827564516,"lmo2661"
"1165",10.4666703030604,12.2387329248242,0.00312175778182151,0.00454132253446052,"lmo2662"
"1166",11.7899899932211,13.5507599291259,9.30120093017799e-07,5.76032786765205e-06,"lmo2664"
"1168",10.7642633460629,12.5231860749355,0.00177495294277909,0.00273993827629873,"lmo2671"
"117",10.718228923789,12.4807654660204,0.00182686579627767,0.00280172259862975,"lmo0247"
"1170",10.3442303053065,12.1120948932832,0.00184680360549816,0.00282357838084528,"lmo2675"
"1171",11.9118568378986,13.6703062624458,1.87036385870683e-07,1.55570264483027e-06,"lmo2676"
"1172",12.8412539862219,14.5824516482835,6.86135952735135e-12,3.03186324114838e-10,"lmo2679"
"1174",12.6295490897071,14.3755255020271,7.83282493800817e-11,2.63705106246275e-09,"kdpB"
"1175",12.8759595379926,14.6106440316617,1.60849037659456e-11,6.68942762501383e-10,"kdpA"
"1177",12.981309192908,14.720027269533,1.0392573933473e-12,7.34754977096541e-11,"lmo2689"
